date,number_of_strikes,center_point_geom
2019-12-01,1,POINT(-84.7 40.7)
2019-12-01,1,POINT(-78.1 32.6)
2019-12-01,1,POINT(-77.4 33.6)
2019-12-01,1,POINT(-74 33.7)
2019-12-01,1,POINT(-73.5 34.7)
2019-12-01,1,POINT(-89.1 33.6)
2019-12-01,1,POINT(-91 32.5)
2019-12-01,1,POINT(-75.9 34.2)
2019-12-01,1,POINT(-76.3 33.4)
2019-12-01,1,POINT(-78.2 34.1)
2019-12-01,1,POINT(-88.3 34.6)
2019-12-01,1,POINT(-85.1 34.5)
2019-12-01,1,POINT(-94.6 29.7)
2019-12-01,1,POINT(-82.1 41)
2019-12-01,1,POINT(-82.4 34.4)
2019-12-01,1,POINT(-79.9 35.3)
2019-12-01,1,POINT(-81.8 42.4)
2019-12-01,1,POINT(-57 42.5)
2019-12-01,1,POINT(-81.4 41.5)
2019-12-01,1,POINT(-84.8 36.4)
2019-12-01,1,POINT(-84.6 36.2)
2019-12-01,1,POINT(-88.1 35.1)
2019-12-01,1,POINT(-85 41.2)
2019-12-01,1,POINT(-51.1 40.9)
2019-12-01,1,POINT(-87.4 41.1)
2019-12-01,1,POINT(-83.9 35.7)
2019-12-01,1,POINT(-86 34.9)
2019-12-01,1,POINT(-86.1 35.6)
2019-12-01,1,POINT(-81.2 35.6)
2019-12-01,1,POINT(-84.7 35.5)
2019-12-01,1,POINT(-87 36)
2019-12-01,1,POINT(-71.6 35)
2019-12-01,1,POINT(-73.3 34.7)
2019-12-01,1,POINT(-88.3 35)
2019-12-01,1,POINT(-88.3 34.7)
2019-12-01,1,POINT(-79.9 34.6)
2019-12-01,1,POINT(-78.7 31.8)
2019-12-01,1,POINT(-90.4 33.3)
2019-12-01,1,POINT(-83.7 31.3)
2019-12-01,1,POINT(-77.1 33.8)
2019-12-01,1,POINT(-76.6 33.8)
2019-12-01,1,POINT(-84.1 34.4)
2019-12-01,1,POINT(-83.3 35.3)
2019-12-01,1,POINT(-85.4 39.5)
2019-12-01,1,POINT(-85.6 42.6)
2019-12-01,1,POINT(-81.8 42.3)
2019-12-01,1,POINT(-84.7 41.9)
2019-12-01,1,POINT(-82.6 41.7)
2019-12-01,1,POINT(-72.9 35.2)
2019-12-01,1,POINT(-73.3 35.1)
2019-12-01,1,POINT(-82.8 41.5)
2019-12-01,1,POINT(-79 35.1)
2019-12-01,1,POINT(-82.9 40.9)
2019-12-01,1,POINT(-71.5 34.8)
2019-12-01,1,POINT(-82 34.9)
2019-12-01,1,POINT(-89.2 34.9)
2019-12-01,1,POINT(-77.2 35.5)
2019-12-01,1,POINT(-86.2 39)
2019-12-01,1,POINT(-89 32.7)
2019-12-01,1,POINT(-74.7 34.3)
2019-12-01,1,POINT(-80.5 34.7)
2019-12-01,1,POINT(-79.4 34)
2019-12-01,1,POINT(-89.8 32.4)
2019-12-01,1,POINT(-78.6 32.3)
2019-12-01,1,POINT(-84.5 33)
2019-12-01,1,POINT(-90.3 34.2)
2019-12-01,1,POINT(-78.5 31.7)
2019-12-01,1,POINT(-77.6 31.7)
2019-12-01,1,POINT(-74.5 34.4)
2019-12-01,1,POINT(-89.6 33.8)
2019-12-01,1,POINT(-89.2 43.1)
2019-12-01,1,POINT(-54.1 42.7)
2019-12-01,1,POINT(-83 39.2)
2019-12-01,1,POINT(-86.2 35.3)
2019-12-01,1,POINT(-83.7 38.6)
2019-12-01,1,POINT(-82.6 38.4)
2019-12-01,1,POINT(-84.8 37.4)
2019-12-01,1,POINT(-87.4 41.5)
2019-12-01,1,POINT(-84.8 41.4)
2019-12-01,1,POINT(-85.7 35.6)
2019-12-01,1,POINT(-80.1 40.5)
2019-12-01,1,POINT(-91 32.7)
2019-12-01,1,POINT(-89.2 35)
2019-12-01,1,POINT(-90.2 32.5)
2019-12-01,1,POINT(-85.1 32.4)
2019-12-01,1,POINT(-72.3 34.6)
2019-12-01,1,POINT(-80 33.5)
2019-12-01,1,POINT(-81.1 34.6)
2019-12-01,1,POINT(-78.7 32)
2019-12-01,1,POINT(-78.6 32)
2019-12-01,1,POINT(-89.7 33.4)
2019-12-01,1,POINT(-90.2 33.3)
2019-12-01,1,POINT(-84.8 31.7)
2019-12-01,1,POINT(-80.2 31.6)
2019-12-01,1,POINT(-89.5 33.9)
2019-12-01,1,POINT(-85.3 31.4)
2019-12-01,1,POINT(-83.2 39.5)
2019-12-01,1,POINT(-85.3 39.6)
2019-12-01,1,POINT(-93.6 41.7)
2019-12-01,1,POINT(-87.2 38.3)
2019-12-01,1,POINT(-85.2 36.6)
2019-12-01,1,POINT(-93 41.4)
2019-12-01,1,POINT(-81.5 41.4)
2019-12-01,1,POINT(-83.7 36.1)
2019-12-01,1,POINT(-84.9 41.2)
2019-12-01,1,POINT(-80.6 40.9)
2019-12-01,1,POINT(-81.6 40.8)
2019-12-01,1,POINT(-84.4 35.6)
2019-12-01,1,POINT(-82.9 35.5)
2019-12-01,1,POINT(-79.2 33.7)
2019-12-01,1,POINT(-84.9 34.8)
2019-12-01,1,POINT(-83.8 36)
2019-12-01,1,POINT(-81.6 35)
2019-12-01,1,POINT(-73 34.7)
2019-12-01,1,POINT(-76.1 33)
2019-12-01,1,POINT(-91 32.3)
2019-12-01,1,POINT(-79.6 32.2)
2019-12-01,1,POINT(-78.9 32.1)
2019-12-01,1,POINT(-78 31.8)
2019-12-01,1,POINT(-87.2 33.3)
2019-12-01,1,POINT(-83.9 33.2)
2019-12-01,1,POINT(-79.2 31.6)
2019-12-01,1,POINT(-83.9 34.5)
2019-12-01,1,POINT(-84.9 43)
2019-12-01,1,POINT(-82.4 40.4)
2019-12-01,1,POINT(-89.3 43.4)
2019-12-01,1,POINT(-79.8 40.1)
2019-12-01,1,POINT(-86.2 38.9)
2019-12-01,1,POINT(-85.2 42.1)
2019-12-01,1,POINT(-88.9 35.2)
2019-12-01,1,POINT(-86.1 36.4)
2019-12-01,1,POINT(-129.9 36.6)
2019-12-01,1,POINT(-80.4 41.2)
2019-12-01,1,POINT(-80.8 41.1)
2019-12-01,1,POINT(-86.2 34.7)
2019-12-01,1,POINT(-80.7 32.4)
2019-12-01,1,POINT(-87 34.3)
2019-12-01,1,POINT(-89.4 34)
2019-12-01,1,POINT(-80.2 32.3)
2019-12-01,1,POINT(-75.8 34.1)
2019-12-01,1,POINT(-84.5 33.2)
2019-12-01,1,POINT(-88.1 33.9)
2019-12-01,1,POINT(-92.8 42)
2019-12-01,1,POINT(-76.2 32.8)
2019-12-01,1,POINT(-44.1 44.4)
2019-12-01,1,POINT(-86.5 40.3)
2019-12-01,1,POINT(-128.4 39.9)
2019-12-01,1,POINT(-83.1 40.1)
2019-12-01,1,POINT(-85.1 35.3)
2019-12-01,1,POINT(-82.9 39.2)
2019-12-01,1,POINT(-85.5 35.3)
2019-12-01,1,POINT(-86.8 38.6)
2019-12-01,1,POINT(-83.4 38.1)
2019-12-01,1,POINT(-85.1 36.9)
2019-12-01,1,POINT(-85.2 36.3)
2019-12-01,1,POINT(-86.6 34.9)
2019-12-01,1,POINT(-83.7 40.7)
2019-12-01,1,POINT(-79 34.9)
2019-12-01,1,POINT(-84.8 35.6)
2019-12-01,1,POINT(-84.5 35.6)
2019-12-01,1,POINT(-72.6 35.5)
2019-12-01,1,POINT(-84.8 40.6)
2019-12-01,1,POINT(-80.4 40.6)
2019-12-01,1,POINT(-83.3 33.7)
2019-12-01,1,POINT(-83.7 39)
2019-12-01,1,POINT(-89.4 34.4)
2019-12-01,1,POINT(-90.1 34.3)
2019-12-01,1,POINT(-78.9 34)
2019-12-01,1,POINT(-83 34.7)
2019-12-01,1,POINT(-73.1 34.6)
2019-12-01,1,POINT(-79.1 34.1)
2019-12-01,1,POINT(-75.5 34.4)
2019-12-01,1,POINT(-84.4 43.3)
2019-12-01,1,POINT(-85.2 42.6)
2019-12-01,1,POINT(-82.2 35.3)
2019-12-01,1,POINT(-83.3 39.7)
2019-12-01,1,POINT(-85.4 42.4)
2019-12-01,1,POINT(-53.4 41.9)
2019-12-01,1,POINT(-84.5 41.7)
2019-12-01,1,POINT(-73.2 35.2)
2019-12-01,1,POINT(-80.5 41.3)
2019-12-01,1,POINT(-82.1 40.9)
2019-12-01,1,POINT(-86.5 35.8)
2019-12-01,1,POINT(-83.6 34.9)
2019-12-01,1,POINT(-71.9 34.8)
2019-12-01,1,POINT(-86.3 39)
2019-12-01,1,POINT(-75.3 34.3)
2019-12-01,1,POINT(-90 32.6)
2019-12-01,1,POINT(-81.6 33.6)
2019-12-01,1,POINT(-80.7 34.7)
2019-12-01,1,POINT(-89.6 32.5)
2019-12-01,1,POINT(-85.7 34)
2019-12-01,1,POINT(-82.3 34)
2019-12-01,1,POINT(-79.1 32.4)
2019-12-01,1,POINT(-76.3 33.5)
2019-12-01,1,POINT(-72.9 34.6)
2019-12-01,1,POINT(-91.2 33)
2019-12-01,1,POINT(-73.6 34.5)
2019-12-01,1,POINT(-79.1 31.6)
2019-12-01,1,POINT(-85.1 31.6)
2019-12-01,1,POINT(-89.9 33.2)
2019-12-01,1,POINT(-87.9 33.9)
2019-12-01,1,POINT(-83.7 31.4)
2019-12-01,1,POINT(-80.1 41)
2019-12-01,1,POINT(-85.4 40)
2019-12-01,1,POINT(-89.6 43.1)
2019-12-01,1,POINT(-82.9 35.3)
2019-12-01,1,POINT(-86 42.5)
2019-12-01,1,POINT(-88.7 35.3)
2019-12-01,1,POINT(-84.5 42.4)
2019-12-01,1,POINT(-80.8 41.8)
2019-12-01,1,POINT(-78.4 37.5)
2019-12-01,1,POINT(-81.4 35.1)
2019-12-01,1,POINT(-84.5 36.8)
2019-12-01,1,POINT(-78.5 37.4)
2019-12-01,1,POINT(-84.7 36.5)
2019-12-01,1,POINT(-76.7 33.7)
2019-12-01,1,POINT(-88.7 34.8)
2019-12-01,1,POINT(-76.7 32.5)
2019-12-01,1,POINT(-79.7 33.6)
2019-12-01,1,POINT(-78.1 33.6)
2019-12-01,1,POINT(-81.6 34.7)
2019-12-01,1,POINT(-87.7 33)
2019-12-01,1,POINT(-78.8 32.3)
2019-12-01,1,POINT(-74.9 33.3)
2019-12-01,1,POINT(-77.7 31.8)
2019-12-01,1,POINT(-79.4 31.8)
2019-12-01,1,POINT(-85 34.1)
2019-12-01,1,POINT(-79.3 32.9)
2019-12-01,1,POINT(-84.5 43.4)
2019-12-01,1,POINT(-85 42.9)
2019-12-01,1,POINT(-82.6 42.2)
2019-12-01,1,POINT(-82.7 41.9)
2019-12-01,1,POINT(-80.3 41.3)
2019-12-01,1,POINT(-80.5 40.8)
2019-12-01,1,POINT(-73.3 35.7)
2019-12-01,1,POINT(-79.9 35.6)
2019-12-01,1,POINT(-80.1 40.7)
2019-12-01,1,POINT(-83.4 39)
2019-12-01,1,POINT(-81.9 35)
2019-12-01,1,POINT(-86.3 34.7)
2019-12-01,1,POINT(-76.6 33.5)
2019-12-01,1,POINT(-87.7 33.4)
2019-12-01,1,POINT(-73.1 34.1)
2019-12-01,1,POINT(-88 34.2)
2019-12-01,1,POINT(-86.4 31)
2019-12-01,1,POINT(-78.1 31.7)
2019-12-01,1,POINT(-79.3 31.8)
2019-12-01,1,POINT(-89.6 33.3)
2019-12-01,1,POINT(-90.9 33.2)
2019-12-01,1,POINT(-80.8 31.4)
2019-12-01,1,POINT(-76.5 32.9)
2019-12-01,1,POINT(-94.7 29.8)
2019-12-01,1,POINT(-54.3 41)
2019-12-01,1,POINT(-53.3 40)
2019-12-01,1,POINT(-83.9 34.8)
2019-12-01,1,POINT(-85.2 42.8)
2019-12-01,1,POINT(-81.9 42.3)
2019-12-01,1,POINT(-84.4 42.1)
2019-12-01,1,POINT(-73.2 35.1)
2019-12-01,1,POINT(-86 41.3)
2019-12-01,1,POINT(-84.2 41.3)
2019-12-01,1,POINT(-87.5 35.8)
2019-12-01,1,POINT(-84.1 34.9)
2019-12-01,1,POINT(-83.2 35.5)
2019-12-01,1,POINT(-82.1 35.5)
2019-12-01,1,POINT(-87 35.5)
2019-12-01,1,POINT(-86.5 34.4)
2019-12-01,1,POINT(-85.2 35)
2019-12-01,1,POINT(-85.1 34.3)
2019-12-01,1,POINT(-77.3 33.5)
2019-12-01,1,POINT(-90.1 34.1)
2019-12-01,1,POINT(-77.5 33.1)
2019-12-01,1,POINT(-76.4 33.1)
2019-12-01,1,POINT(-72.9 34.4)
2019-12-01,1,POINT(-95.7 30.5)
2019-12-01,1,POINT(-83.4 40.4)
2019-12-01,1,POINT(-85.2 44.1)
2019-12-01,1,POINT(-84.6 43.4)
2019-12-01,1,POINT(-77.3 35.3)
2019-12-01,1,POINT(-85.3 39.7)
2019-12-01,1,POINT(-92.7 42.1)
2019-12-01,1,POINT(-54.4 38.6)
2019-12-01,1,POINT(-56.3 38.4)
2019-12-01,1,POINT(-84.5 37.5)
2019-12-01,1,POINT(-83.4 35.1)
2019-12-01,1,POINT(-85.2 36.9)
2019-12-01,1,POINT(-85.9 36.4)
2019-12-01,1,POINT(-84.4 41.4)
2019-12-01,1,POINT(-84.2 35.8)
2019-12-01,1,POINT(-82.9 40.5)
2019-12-01,1,POINT(-84.6 40.6)
2019-12-01,1,POINT(-79.9 40.6)
2019-12-01,1,POINT(-80.3 33.7)
2019-12-01,1,POINT(-88.9 33.7)
2019-12-01,1,POINT(-80.9 32.4)
2019-12-01,1,POINT(-75.2 34.6)
2019-12-01,1,POINT(-81.4 34.6)
2019-12-01,1,POINT(-80.9 34.6)
2019-12-01,1,POINT(-88.5 33.1)
2019-12-01,1,POINT(-85.1 31.4)
2019-12-01,1,POINT(-78.5 33.8)
2019-12-01,1,POINT(-53.1 40)
2019-12-01,1,POINT(-89.4 43.2)
2019-12-01,1,POINT(-87.6 43.3)
2019-12-01,1,POINT(-82.4 35.4)
2019-12-01,1,POINT(-81.7 40.3)
2019-12-01,1,POINT(-54.3 38.7)
2019-12-01,1,POINT(-86 41.6)
2019-12-01,1,POINT(-81.3 35.1)
2019-12-01,1,POINT(-85 37.3)
2019-12-01,1,POINT(-87.5 41.4)
2019-12-01,1,POINT(-86.8 36.3)
2019-12-01,1,POINT(-84.7 41.3)
2019-12-01,1,POINT(-84 35.9)
2019-12-01,1,POINT(-71 34.9)
2019-12-01,1,POINT(-89.1 34.9)
2019-12-01,1,POINT(-87 35.6)
2019-12-01,1,POINT(-86.3 40.8)
2019-12-01,1,POINT(-55.9 40.4)
2019-12-01,1,POINT(-82.7 36)
2019-12-01,1,POINT(-77.9 33.6)
2019-12-01,1,POINT(-74.3 34.7)
2019-12-01,1,POINT(-83.2 34.7)
2019-12-01,1,POINT(-77.2 34)
2019-12-01,1,POINT(-79.7 32.4)
2019-12-01,1,POINT(-83.6 33.5)
2019-12-01,1,POINT(-78.7 32.3)
2019-12-01,1,POINT(-78.2 32.2)
2019-12-01,1,POINT(-84.4 34.6)
2019-12-01,1,POINT(-79.2 31.8)
2019-12-01,1,POINT(-90.6 33.3)
2019-12-01,1,POINT(-80.8 31.5)
2019-12-01,1,POINT(-80.6 31.5)
2019-12-01,1,POINT(-88 32.9)
2019-12-01,1,POINT(-83 33.8)
2019-12-01,1,POINT(-83.3 43.8)
2019-12-01,1,POINT(-89.6 43.2)
2019-12-01,1,POINT(-83.3 40.3)
2019-12-01,1,POINT(-85.5 42.9)
2019-12-01,1,POINT(-87.7 35.4)
2019-12-01,1,POINT(-56.3 39.8)
2019-12-01,1,POINT(-85.9 39.3)
2019-12-01,1,POINT(-87.2 35.1)
2019-12-01,1,POINT(-84 36.5)
2019-12-01,1,POINT(-70.8 34.9)
2019-12-01,1,POINT(-81.2 34.9)
2019-12-01,1,POINT(-82.3 40.7)
2019-12-01,1,POINT(-84.9 35.5)
2019-12-01,1,POINT(-81.3 40.4)
2019-12-01,1,POINT(-86.9 34.4)
2019-12-01,1,POINT(-80.8 32.6)
2019-12-01,1,POINT(-78.9 34.3)
2019-12-01,1,POINT(-79.9 34)
2019-12-01,1,POINT(-79.9 33.5)
2019-12-01,1,POINT(-84.8 34.2)
2019-12-01,1,POINT(-78.7 34.1)
2019-12-01,1,POINT(-77.1 34.1)
2019-12-01,1,POINT(-79 34.6)
2019-12-01,1,POINT(-89.6 34.6)
2019-12-01,1,POINT(-85 31.5)
2019-12-01,1,POINT(-80.1 33.8)
2019-12-01,1,POINT(-80.5 41)
2019-12-01,1,POINT(-83.9 41)
2019-12-01,1,POINT(-82 43.1)
2019-12-01,1,POINT(-86.6 43.1)
2019-12-01,1,POINT(-84.7 39.4)
2019-12-01,1,POINT(-81.3 41.7)
2019-12-01,1,POINT(-82.7 41.8)
2019-12-01,1,POINT(-81.5 35.2)
2019-12-01,1,POINT(-84.1 38.7)
2019-12-01,1,POINT(-88.1 37.8)
2019-12-01,1,POINT(-54.6 38.3)
2019-12-01,1,POINT(-85.6 36.4)
2019-12-01,1,POINT(-83.3 41.3)
2019-12-01,1,POINT(-86.8 34.4)
2019-12-01,1,POINT(-83.5 35)
2019-12-01,1,POINT(-80.2 34.3)
2019-12-01,1,POINT(-88.5 33.5)
2019-12-01,1,POINT(-75.8 33)
2019-12-01,1,POINT(-80.9 32.2)
2019-12-01,1,POINT(-76.7 33.2)
2019-12-01,1,POINT(-90 33.2)
2019-12-01,1,POINT(-80.2 33.9)
2019-12-01,1,POINT(-79.7 34.8)
2019-12-01,1,POINT(-86.8 40)
2019-12-01,1,POINT(-84.6 43.2)
2019-12-01,1,POINT(-82.2 35.4)
2019-12-01,1,POINT(-84.8 35.4)
2019-12-01,1,POINT(-89.4 42.7)
2019-12-01,1,POINT(-85 42.8)
2019-12-01,1,POINT(-84.2 41.6)
2019-12-01,1,POINT(-88.1 35.2)
2019-12-01,1,POINT(-86.4 35.2)
2019-12-01,1,POINT(-86.1 35.2)
2019-12-01,1,POINT(-86.9 38.5)
2019-12-01,1,POINT(-81.2 41.5)
2019-12-01,1,POINT(-84.1 37.9)
2019-12-01,1,POINT(-83.4 36.1)
2019-12-01,1,POINT(-82.3 41.2)
2019-12-01,1,POINT(-82.6 41.3)
2019-12-01,1,POINT(-74.2 34.9)
2019-12-01,1,POINT(-78.8 34.9)
2019-12-01,1,POINT(-73.2 35.6)
2019-12-01,1,POINT(-87 35.7)
2019-12-01,1,POINT(-88.9 34.8)
2019-12-01,1,POINT(-80 34.4)
2019-12-01,1,POINT(-83.3 35)
2019-12-01,1,POINT(-74.9 34)
2019-12-01,1,POINT(-79.3 34)
2019-12-01,1,POINT(-80.6 32.4)
2019-12-01,1,POINT(-90.6 32.4)
2019-12-01,1,POINT(-73.2 34.6)
2019-12-01,1,POINT(-79.7 32.3)
2019-12-01,1,POINT(-87 33.4)
2019-12-01,1,POINT(-88.1 33.2)
2019-12-01,1,POINT(-76.8 33.9)
2019-12-01,1,POINT(-89 33.9)
2019-12-01,1,POINT(-74.7 34.8)
2019-12-01,1,POINT(-79.3 34.8)
2019-12-01,1,POINT(-86 33.8)
2019-12-01,1,POINT(-80.8 34.4)
2019-12-01,1,POINT(-80.4 34.4)
2019-12-01,1,POINT(-56 40.4)
2019-12-01,1,POINT(-85.2 43.5)
2019-12-01,1,POINT(-73.6 35.4)
2019-12-01,1,POINT(-85.2 42.7)
2019-12-01,1,POINT(-86.4 42.1)
2019-12-01,1,POINT(-84.1 36.4)
2019-12-01,1,POINT(-85.7 36.5)
2019-12-01,1,POINT(-86.1 36.2)
2019-12-01,1,POINT(-85.8 41.3)
2019-12-01,1,POINT(-84.7 40.9)
2019-12-01,1,POINT(-54.6 40.9)
2019-12-01,1,POINT(-81.2 35.5)
2019-12-01,1,POINT(-80.2 40.4)
2019-12-01,1,POINT(-70.9 35)
2019-12-01,1,POINT(-86.8 33.6)
2019-12-01,1,POINT(-88.7 34)
2019-12-01,1,POINT(-77.4 33.1)
2019-12-01,1,POINT(-88.9 32.9)
2019-12-01,1,POINT(-83.2 39)
2019-12-01,1,POINT(-89.3 32.8)
2019-12-01,1,POINT(-77.9 32.8)
2019-12-01,1,POINT(-123.1 33.7)
2019-12-01,1,POINT(-79.3 40.3)
2019-12-01,1,POINT(-87.6 44.4)
2019-12-01,1,POINT(-82.1 35.4)
2019-12-01,1,POINT(-72.4 35.4)
2019-12-01,1,POINT(-88.6 35.4)
2019-12-01,1,POINT(-55.9 40.1)
2019-12-01,1,POINT(-85.8 41.9)
2019-12-01,1,POINT(-83.9 38.6)
2019-12-01,1,POINT(-80.8 41.5)
2019-12-01,1,POINT(-87.4 38.2)
2019-12-01,1,POINT(-84.7 36.7)
2019-12-01,1,POINT(-72.6 36.8)
2019-12-01,1,POINT(-86.9 41.5)
2019-12-01,1,POINT(-86.5 36.4)
2019-12-01,1,POINT(-86.4 36.3)
2019-12-01,1,POINT(-80.3 41.2)
2019-12-01,1,POINT(-84.1 41.3)
2019-12-01,1,POINT(-74.5 34.9)
2019-12-01,1,POINT(-83.9 40.9)
2019-12-01,1,POINT(-85.9 35.7)
2019-12-01,1,POINT(-79.5 33.7)
2019-12-01,1,POINT(-77.9 32.6)
2019-12-01,1,POINT(-84.1 35)
2019-12-01,1,POINT(-76.4 34)
2019-12-01,1,POINT(-78.4 34.2)
2019-12-01,1,POINT(-75 34)
2019-12-01,1,POINT(-77.3 33.4)
2019-12-01,1,POINT(-81.1 31.5)
2019-12-01,1,POINT(-75.5 33.8)
2019-12-01,1,POINT(-86 31.1)
2019-12-01,1,POINT(-72.6 34.8)
2019-12-01,1,POINT(-90.5 32.9)
2019-12-01,1,POINT(-76.6 34.4)
2019-12-01,1,POINT(-72.8 35.3)
2019-12-01,1,POINT(-82.2 39.4)
2019-12-01,1,POINT(-83.3 39.5)
2019-12-01,1,POINT(-81.8 39.6)
2019-12-01,1,POINT(-127.5 39.6)
2019-12-01,1,POINT(-73.8 35.2)
2019-12-01,1,POINT(-72.7 35.2)
2019-12-01,1,POINT(-71.5 34.9)
2019-12-01,1,POINT(-82.8 35.8)
2019-12-01,1,POINT(-78.3 34.9)
2019-12-01,1,POINT(-83.6 35.5)
2019-12-01,1,POINT(-76.8 34.3)
2019-12-01,1,POINT(-87.6 34.2)
2019-12-01,1,POINT(-87.3 34.2)
2019-12-01,1,POINT(-87.1 34.1)
2019-12-01,1,POINT(-79.4 31.5)
2019-12-01,1,POINT(-78.3 34.4)
2019-12-01,1,POINT(-73.5 35.4)
2019-12-01,1,POINT(-82.9 39.7)
2019-12-01,1,POINT(-85.7 39.4)
2019-12-01,1,POINT(-81.7 42.1)
2019-12-01,1,POINT(-92.4 42.2)
2019-12-01,1,POINT(-86.2 41.9)
2019-12-01,1,POINT(-80.9 41.6)
2019-12-01,1,POINT(-82.4 38.4)
2019-12-01,1,POINT(-55.3 38.5)
2019-12-01,1,POINT(-86.1 38.6)
2019-12-01,1,POINT(-93 41.5)
2019-12-01,1,POINT(-84.9 36.6)
2019-12-01,1,POINT(-93 41.3)
2019-12-01,1,POINT(-86.1 34.9)
2019-12-01,1,POINT(-73.4 35.6)
2019-12-01,1,POINT(-87.6 35.6)
2019-12-01,1,POINT(-83 40.8)
2019-12-01,1,POINT(-84.4 35.5)
2019-12-01,1,POINT(-81.3 35)
2019-12-01,1,POINT(-91.3 32.5)
2019-12-01,1,POINT(-78.9 32.4)
2019-12-01,1,POINT(-78.5 33.5)
2019-12-01,1,POINT(-82.1 33.4)
2019-12-01,1,POINT(-90.2 34.2)
2019-12-01,1,POINT(-77.5 31.5)
2019-12-01,1,POINT(-84.4 33.1)
2019-12-01,1,POINT(-84.1 31.3)
2019-12-01,1,POINT(-74.3 33.7)
2019-12-01,1,POINT(-89.6 43.4)
2019-12-01,1,POINT(-71.1 38.9)
2019-12-01,1,POINT(-83.8 38.9)
2019-12-01,1,POINT(-84.7 38.5)
2019-12-01,1,POINT(-85.1 36.7)
2019-12-01,1,POINT(-54.3 40.8)
2019-12-01,1,POINT(-85.4 40.8)
2019-12-01,1,POINT(-87.6 34.9)
2019-12-01,1,POINT(-71.5 35)
2019-12-01,1,POINT(-77.8 32.7)
2019-12-01,1,POINT(-86 34.8)
2019-12-01,1,POINT(-76.5 32.5)
2019-12-01,1,POINT(-84.2 34.3)
2019-12-01,1,POINT(-83.9 34.3)
2019-12-01,1,POINT(-75.2 34.2)
2019-12-01,1,POINT(-88.9 34)
2019-12-01,1,POINT(-87.5 34.1)
2019-12-01,1,POINT(-90.5 33.9)
2019-12-01,1,POINT(-73.3 34.4)
2019-12-01,1,POINT(-83.6 34.4)
2019-12-01,1,POINT(-82.3 34.8)
2019-12-01,1,POINT(-84.8 43.6)
2019-12-01,1,POINT(-89.4 43.3)
2019-12-01,1,POINT(-70.8 35.3)
2019-12-01,1,POINT(-84.2 40.2)
2019-12-01,1,POINT(-85.2 39.7)
